zone_id,zone_full_name,state_fips,shipment_lane_count,total_tons,total_value_usd,climate_risk_score,climate_risk_tier,risk_intensity_score,risk_intensity_tier,state_storm_event_count,state_storm_damage_usd,ndvi_anomaly,vegetation_stress_tier,latitude,longitude
319,Remainder of Nebraska,31,7196,222450.32186900039,142722.12287399982,0.2028,Low,0.0459,Low,18639,1182311460.0,-0.013699999999999934,Normal,41.12537,-98.268082
321,"Las Vegas-Henderson, NV  CFS Area",32,9578,38757.48290500001,65054.457137999954,0.0459,Low,0.0111,Low,4280,188635300.0,0.015899999999999997,Normal,38.313515,-117.055374
329,Remainder of Nevada,32,7610,34403.911322,59334.748270000004,0.0459,Low,0.0111,Low,4280,188635300.0,0.015899999999999997,Normal,38.313515,-117.055374
331,"Boston-Worcester-Providence, MA-RI-NH-CT  CFS Area (NH Part)",33,7434,28763.50651800001,60480.16817199998,0.0252,Low,0.009,Low,2360,90871100.0,-0.008599999999999941,Normal,43.452492,-71.563896
339,Remainder of New Hampshire,33,5234,15822.967301000002,12889.475046,0.0252,Low,0.009,Low,2360,90871100.0,-0.008599999999999941,Normal,43.452492,-71.563896
341,"New York-Newark, NY-NJ-CT-PA  CFS Area (NJ Part)",34,48337,338504.07960500027,705870.1108179998,0.0783,Low,0.0017,Low,7357,239338130.0,-0.008500000000000063,Normal,40.298904,-74.521011
342,"Philadelphia-Reading-Camden, PA-NJ-DE-MD  CFS Area (NJ Part)",34,9991,101001.95870000003,179209.24011599994,0.0783,Low,0.0017,Low,7357,239338130.0,-0.008500000000000063,Normal,40.298904,-74.521011
350,New Mexico,35,6783,292975.5833290002,120770.86225199998,0.1125,Low,0.0568,Low,10160,915516450.0,-0.018199999999999994,Normal,34.840515,-106.248482
361,"Albany-Schenectady, NY  CFS Area ",36,9770,80304.59584700005,88898.85895400008,0.2193,Low,0.0065,Low,20381,959520500.0,-0.007900000000000018,Normal,42.165726,-74.948051
362,"Buffalo-Cheektowaga-Olean, NY  CFS Area ",36,21655,111595.05887800027,130255.8613399999,0.2193,Low,0.0065,Low,20381,959520500.0,-0.007900000000000018,Normal,42.165726,-74.948051
363,"New York-Newark, NY-NJ-CT-PA  CFS Area (NY Part)",36,37407,165956.61628499982,584186.4761889997,0.2193,Low,0.0065,Low,20381,959520500.0,-0.007900000000000018,Normal,42.165726,-74.948051
364,"Rochester-Batavia-Seneca Falls, NY  CFS Area ",36,10691,58093.56913799996,63092.46968099993,0.2193,Low,0.0065,Low,20381,959520500.0,-0.007900000000000018,Normal,42.165726,-74.948051
369,Remainder of New York,36,19315,142026.51524699992,196073.72698699989,0.2193,Low,0.0065,Low,20381,959520500.0,-0.007900000000000018,Normal,42.165726,-74.948051
371,"Charlotte-Concord, NC-SC  CFS Area  (NC Part)",37,16862,68472.05168900013,122955.67022400003,0.1997,Low,0.0735,Low,14983,5888533010.0,-0.022600000000000064,Normal,35.630066,-79.806419
372,"Greensboro-Winston-Salem-High Point, NC  CFS Area ",37,12107,59721.129651000054,134734.12526300002,0.1997,Low,0.0735,Low,14983,5888533010.0,-0.022600000000000064,Normal,35.630066,-79.806419
373,"Raleigh-Durham-Cary, NC  CFS Area ",37,12784,83768.43243099994,106139.12786099994,0.1997,Low,0.0735,Low,14983,5888533010.0,-0.022600000000000064,Normal,35.630066,-79.806419
379,Remainder of North Carolina,37,16492,167901.35179000002,236662.62941199975,0.1997,Low,0.0735,Low,14983,5888533010.0,-0.022600000000000064,Normal,35.630066,-79.806419
